company_number,company_name
02811168,BARCLAY MOWLEM (ASIA) LIMITED
02355338,CARILLION UTILITY SERVICES S.E. LIMITED
05186128,NEW WORLD HAYDOCK LIMITED
01401298,MARCHWIEL INVESTMENTS LIMITED
01122808,CARILLION ASSET MANAGEMENT LIMITED
03232308,SOVEREIGN HOSPITAL SERVICES LIMITED
00961738,CARILLION PROJECT SERVICES HOLDINGS LIMITED
15634599,PFP-IGLOO VAUX SUNDERLAND LIMITED
02969358,EAGA SERVICES LIMITED
00326348,MCALPINE INFRASTRUCTURE SERVICES LIMITED
08114138,INSPIREDSPACES ROCHDALE (PROJECTCO2) LIMITED
01505628,ALFRED MCALPINE ASSET MANAGEMENT SERVICES LIMITED
05380578,NEW WORLD LEISURE LIMITED
OC449639,PARTNERSHIPS & PLACES LLP
06910378,THE MANAGEMENT COMPANY (CASTLEGATE PHASE 2) LIMITED
02987829,AVERY HILL DEVELOPMENTS LIMITED
01947809,JOHN MOWLEM CONSTRUCTION LIMITED
09164628,SIGLION NOMINEE LIMITED
07807709,ARLINGTON REAL ESTATE (DURHAM CITY) LIMITED
NI016109,"HEAT, ENERGY AND ASSOCIATED TECHNOLOGY LIMITED"
07251289,TOWN HOSPITALS LIMITED
02508579,POSTWORTH LIMITED
03198709,CARILLION LGS LIMITED
00728599,CARILLION UTILITY SERVICES LIMITED
06506329,INSPIREDSPACES NOTTINGHAM LIMITED
08404799,CARILLION-BREATHE LIMITED
06569859,INSPIREDSPACES TAMESIDE (PSP1) LIMITED
06569789,INSPIREDSPACES TAMESIDE LIMITED
05753809,CARILLION PRIVATE FINANCE (SECURE) LIMITED
01752119,INSPIREDSPACES LIMITED
02916489,CARILLION PROFESSIONAL SERVICES LIMITED
02063449,1ST INSULATION PARTNERS LIMITED
09147119,MALING STREET MANAGEMENT COMPANY LIMITED
05504709,CEDAR CWMBRAN LIMITED
14943318,PFP-IGLOO INVESTMENTS LTD
09203709,CARILLION DEVELOPMENTS LIMITED
05173289,CEDAR WORCESTER LIMITED
02836739,GEORGE HOWE LIMITED
11168919,FIRST STREET DEVELOPMENT LIMITED
11087173,ASK (FIRST STREET) LIMITED
